Postotak popunjenosti stranice,Razina stranice prikaza,Vrijeme reakcije operatera
47,1,5.404459865506729
50,2,15.0197958490209
43,2,13.0589576881614
53,2,15.395706634661753
52,1,9.398671978499824
47,1,6.904459865506729
34,2,12.992051186920747
34,0,12.992051186920747
48,1,5.601328021500177
38,1,5.351801732007859
63,3,21.078758492955274
57,3,23.38489993035322
40,3,21.241199152028056
40,0,21.241199152028056
46,1,5.210498719100384
53,1,8.095540134493273
52,3,21.25736896559235
54,1,11.289501280899616
54,0,11.289501280899616
70,2,15.835877904722674
70,0,15.835877904722674
70,0,15.835877904722674
40,3,17.210498719100386
45,2,17.668523618377307
53,3,21.073194563299605
68,1,13.3651914807961
55,2,12.631206020574798
58,1,10.5197958490209
50,1,7.5
50,0,7.5
50,0,7.5
50,0,7.5
46,2,13.212579563861325
46,0,13.212579563861325
32,1,3.134808519203902
52,1,7.898671978499824
52,0,7.898671978499824
52,0,7.898671978499824
65,3,20.343727653555703
38,1,8.351801732007859
62,2,15.448364768160623
62,0,15.448364768160623
51,2,10.197752655070579
44,2,14.814424199808474
59,3,24.642347751706012
58,1,12.0197958490209
47,1,6.904459865506729
47,0,6.904459865506729
49,2,14.665357980964579
53,1,9.595540134493273
53,0,9.595540134493273
39,3,17.48881578650409
53,1,11.095540134493273
51,2,15.387429520831551
51,0,15.387429520831551
51,0,15.387429520831551
60,3,15.543834246598692
48,2,13.14219581640416
69,3,27.419863820385387
44,2,17.75222065866229
44,0,17.75222065866229
44,3,17.0150012777326
57,3,22.99250238879621
45,1,9.520325350385164
62,3,20.811367873037565
69,2,22.661128292138535
53,2,14.615865484878436
57,3,22.54237033333878
49,1,10.30016650016848
49,0,10.30016650016848
44,2,11.624250831093253
45,1,8.020325350385164
62,1,9.648198267992143
51,2,13.301161521331696
55,3,25.05585579485492
55,0,25.05585579485492
55,0,25.05585579485492
56,1,7.165250449806363
41,1,5.812403978999968
41,0,5.812403978999968
68,1,8.8651914807961
50,2,12.520325350385164
45,1,8.020325350385164
48,1,7.101328021500177
59,1,9.187596021000031
59,0,9.187596021000031
59,0,9.187596021000031
59,0,9.187596021000031
42,1,4.4802041509791
65,2,17.20584625935551
65,0,17.20584625935551
65,0,17.20584625935551
70,2,15.835877904722674
56,3,21.975077081091143
30,1,7.453623376176941
60,2,17.63514849338051
54,3,25.96544421099191
71,1,13.627225430435097
61,2,17.919551953229593
44,3,18.343852918928604
